TaskID,Instructions,Memory_MB,Input_MB,Output_MB,IO_MB_Total,Inst_per_MB,Predicted_Cost
Task_102,2305,1024,79,69,148,2.2487804878048783,46.20780108012601
Task_103,717,890,190,34,224,0.8047138047138047,20.895012274553455
Task_104,1295,846,48,91,139,1.5289256198347108,29.955945697974723
Task_105,1633,245,121,77,198,6.638211382113822,33.57290033947163
Task_106,2848,655,26,108,134,4.341463414634147,54.0120613605869
Task_107,721,914,134,135,269,0.7879781420765027,21.982403223183308
Task_108,1659,814,103,94,197,2.0355828220858894,36.131207809192
Task_109,2669,764,161,159,320,3.488888888888889,52.68115665783247
Task_110,2022,851,67,112,179,2.3732394366197185,41.93914652601841
Task_111,1071,551,60,181,241,1.940217391304348,26.50594134679369
Task_112,2101,918,173,137,310,2.2861806311207835,44.08633441487336
Task_113,2354,298,26,158,184,7.872909698996655,45.43857177457979
Task_114,638,508,105,173,278,1.2534381139489195,19.41979649542542
Task_115,1152,329,57,58,115,3.4909090909090907,25.440605290591844
Task_116,2826,895,123,132,255,3.154017857142857,55.24722749115193
Task_117,861,208,179,192,371,4.119617224880383,22.559627860185504
Task_118,1837,922,125,150,275,1.990249187432286,39.77683291754405
Task_119,2577,596,44,65,109,4.316582914572864,48.915248406720444
Task_120,516,854,50,31,81,0.6035087719298246,16.921113612082703
Task_121,914,213,127,57,184,4.271028037383178,21.68464807286254
Task_122,1600,101,80,34,114,15.686274509803921,30.83279476216966
Task_123,1360,179,144,91,235,7.555555555555555,29.04185105296119
Task_124,1842,733,30,65,95,2.5095367847411443,37.53450016004422
Task_125,536,732,86,196,282,0.7312414733969986,18.65780029476761
Task_126,912,193,193,119,312,4.701030927835052,22.9458126100068
Task_127,1042,468,199,27,226,2.2217484008528783,24.644540190252325
Task_128,1961,759,37,56,93,2.580263157894737,39.41797166082518
Task_129,850,259,64,32,96,3.269230769230769,19.793078446895482
Task_130,2817,248,49,23,72,11.313253012048193,50.40419018834606
Task_131,1513,769,152,106,258,1.964935064935065,34.026032269232935
Task_132,1870,88,141,195,336,21.01123595505618,37.127289541343124
Task_133,1849,254,11,125,136,7.250980392156863,36.88294595868219
Task_134,1320,754,172,178,350,1.7483443708609272,31.428564461690105
Task_135,2136,469,70,11,81,4.54468085106383,40.76314060840483
Task_136,2163,613,84,118,202,3.522801302931596,43.645051924623836
Task_137,2783,235,73,16,89,11.792372881355933,50.21477253469547
Task_138,2870,1007,74,191,265,2.8472222222222223,56.557845329053634
Task_139,1381,655,89,16,105,2.105182926829268,29.49309727818772
Task_140,2103,915,99,29,128,2.2958515283842793,42.36021426372417
Task_141,2573,611,123,53,176,4.204248366013072,49.295742707890405
Task_142,2384,797,121,19,140,2.987468671679198,46.086839524768685
Task_143,1577,700,150,195,345,2.2496433666191153,35.34714195190989
Task_144,1549,211,45,112,157,7.306603773584905,32.0291452993194
Task_145,1943,833,182,83,265,2.3297362110311752,40.742584922208756
Task_146,2061,69,71,62,133,29.442857142857143,38.081426412648334
Task_147,986,245,13,64,77,4.008130081300813,21.88004222848331
Task_148,2125,158,21,110,131,13.364779874213836,40.26845592602674
Task_149,2623,265,69,166,235,9.860902255639099,50.06515964581055
Task_150,2424,78,153,29,182,30.68354430379747,43.98179219767462
Task_151,1837,418,23,63,86,4.384248210023866,36.36718731202604
Task_152,2705,586,129,65,194,4.608177172061329,51.53948665085065
Task_153,2838,878,135,116,251,3.2286689419795223,55.342640399263836
Task_154,1344,417,192,167,359,3.215311004784689,30.78761810941104
Task_155,1483,911,66,90,156,1.6260964912280702,33.186638089267824
Task_156,580,180,186,37,223,3.2044198895027622,16.29173754798204
Task_157,1962,230,180,161,341,8.493506493506494,39.84267988428299
Task_158,2988,903,128,175,303,3.3053097345132745,58.11859088419686
Task_159,2843,193,182,90,272,14.654639175257731,53.075165615451205
Task_160,891,228,181,126,307,3.890829694323144,22.715420287803727
Task_161,1016,452,155,38,193,2.2428256070640176,24.119624187383437
Task_162,2444,592,167,175,342,4.12141652613828,48.69570931427487
Task_163,1299,520,113,101,214,2.4932821497120923,29.651657054995724
Task_164,676,996,10,161,171,0.6780341023069207,21.019070570964352
Task_165,1890,648,11,195,206,2.9121725731895225,39.517360703143375
Task_166,2979,158,75,89,164,18.735849056603772,54.34022237614826
Task_167,1684,908,121,142,263,1.8525852585258527,37.243128156911375
Task_168,2635,676,51,22,73,3.8921713441654355,48.89771843103043
Task_169,1993,104,148,160,308,18.98095238095238,38.95383328219521
Task_170,1650,317,71,55,126,5.188679245283019,33.51555248667943
Task_171,2546,912,69,132,201,2.7886089813800656,50.741800934973746
Task_172,2473,598,161,128,289,4.128547579298831,48.866298272411484
Task_173,2203,233,16,126,142,9.414529914529915,42.37352445661494
Task_174,2759,783,153,31,184,3.5191326530612246,52.51749652937976
Task_175,1327,958,26,160,186,1.383733055265902,31.222888218762915
Task_176,2376,445,85,91,176,5.327354260089686,46.00862241753169
Task_177,2289,560,86,108,194,4.080213903743315,45.41599775042761
Task_178,2336,795,195,146,341,2.9346733668341707,47.57850951605767
Task_179,2653,427,80,57,137,6.1985981308411215,49.72497254126896
Task_180,2023,619,95,62,157,3.2629032258064514,40.39707403736093
Task_181,1736,395,39,66,105,4.383838383838384,34.84225085126074
Task_182,675,880,132,162,294,0.7661748013620885,21.2852618648972
Task_183,828,286,153,164,317,2.8850174216027873,22.01105165334849
Task_184,2191,731,41,159,200,2.9931693989071038,44.476640387407876
Task_185,2591,867,122,145,267,2.9850230414746544,51.50916609369401
Task_186,1119,445,190,127,317,2.508968609865471,27.067794786420013
Task_187,1286,622,31,104,135,2.0642054574638844,29.162577924158445
Task_188,2311,340,34,162,196,6.777126099706745,45.11991408162921
Task_189,2287,336,176,54,230,6.786350148367952,44.237917029972245
Task_190,2036,295,154,70,224,6.878378378378378,40.13659263739095
Task_191,2055,743,95,79,174,2.7620967741935485,41.81179100342008
Task_192,2086,998,29,62,91,2.088088088088088,42.0599343281055
Task_193,562,821,189,120,309,0.683698296836983,19.432882601800575
Task_194,2775,157,163,158,321,17.563291139240505,52.00258454981003
Task_195,2499,816,145,16,161,3.05875152998776,48.130876204463455
Task_196,1002,462,17,99,116,2.16414686825054,23.92526623873796
Task_197,920,826,102,20,122,1.1124546553808947,22.88854309971521
Task_198,518,749,93,158,251,0.6906666666666667,18.47493925256098
Task_199,2906,793,104,131,235,3.6599496221662466,56.10298216109311
Task_200,837,479,101,50,151,1.74375,20.91010445184165
Task_201,764,124,51,105,156,6.112,18.87591727188894
Task_202,1284,363,150,191,341,3.5274725274725274,29.618917884360613
Task_203,2152,784,105,16,121,2.74140127388535,42.26041281696791
Task_204,2522,618,61,197,258,4.074313408723748,49.79535210547275
Task_205,636,499,152,40,192,1.272,18.215885712094067
Task_206,2032,371,62,175,237,5.462365591397849,41.114209182211475
Task_207,2045,427,105,76,181,4.77803738317757,40.4214612199508
Task_208,2421,594,44,200,244,4.06890756302521,47.94643783044027
Task_209,1708,339,25,40,65,5.023529411764706,33.18521479297714
Task_210,2110,247,64,47,111,8.508064516129032,39.7847651797693
Task_211,571,577,188,110,298,0.9878892733564014,18.617448254534263
Task_212,1943,614,128,100,228,3.159349593495935,40.20751925647443
Task_213,1940,86,27,94,121,22.298850574712645,36.63246581423416
Task_214,1010,356,125,35,160,2.8291316526610646,23.273965901770794
Task_215,2626,629,34,92,126,4.1682539682539685,50.421839013331855
Task_216,2993,269,91,102,193,11.085185185185185,55.57206138197486
Task_217,2555,568,17,179,196,4.490333919156415,49.66247169218662
Task_218,648,787,124,162,286,0.8223350253807107,20.502097078410294
Task_219,2977,372,193,21,214,7.981233243967829,54.83482102743498
Task_220,695,111,23,165,188,6.205357142857143,18.06982298832959
Task_221,2774,119,116,12,128,23.116666666666667,49.740160888905216
Task_222,1655,594,25,81,106,2.7815126050420167,34.39810982484867
Task_223,2530,672,72,42,114,3.7592867756315007,48.073628979664754
Task_224,938,228,96,129,225,4.096069868995633,23.145408528410197
Task_225,1914,425,136,138,274,4.492957746478873,39.408274079313514
Task_226,1878,595,113,157,270,3.151006711409396,39.39099019221414
Task_227,2651,332,59,39,98,7.960960960960961,48.49699691843836
Task_228,1589,702,10,163,173,2.260312944523471,34.65540783891719
Task_229,1831,764,154,174,328,2.3934640522875816,39.463445460482774
Task_230,1607,901,104,41,145,1.7815964523281596,34.41832780626711
Task_231,1104,636,180,22,202,1.7331240188383046,26.006113355480537
Task_232,2502,399,52,107,159,6.255,47.90655668969817
Task_233,1295,92,70,52,122,13.924731182795698,26.159359833465434
Task_234,1195,877,55,110,165,1.3610478359908884,28.891614410183
Task_235,1872,386,129,93,222,4.837209302325581,38.251006630183845
Task_236,645,867,174,155,329,0.7430875576036866,20.839229968170873
Task_237,2762,564,21,81,102,4.888495575221239,51.76011796389819
Task_238,582,505,176,199,375,1.150197628458498,19.04033810746478
Task_239,2408,534,47,80,127,4.500934579439252,46.48820591569776
Task_240,2957,906,31,62,93,3.2601984564498347,55.663909915276584
Task_241,676,565,103,159,262,1.1943462897526502,20.147335906660444
Task_242,1442,251,58,154,212,5.722222222222222,31.265128636713087
Task_243,595,455,36,175,211,1.3048245614035088,18.28649458658929
Task_244,763,921,126,103,229,0.8275488069414316,22.394951070493033
Task_245,1729,943,103,104,207,1.8315677966101696,37.75682411368012
Task_246,1414,104,53,77,130,13.466666666666667,28.425574512204204
Task_247,2454,551,85,163,248,4.445652173913044,48.32920241182284
Task_248,869,331,57,54,111,2.6174698795180724,20.83765820379359
Task_249,1207,884,153,170,323,1.3638418079096044,29.860578057722904
Task_250,1136,72,119,40,159,15.561643835616438,23.31920139972603
Task_251,2884,266,144,48,192,10.801498127340825,53.016442963583046
Task_252,2182,243,106,38,144,8.942622950819672,41.38675891540375
Task_253,878,170,117,189,306,5.1345029239766085,22.05009307315196
Task_254,1079,621,127,33,160,1.734726688102894,25.18638659945474
Task_255,2963,657,165,55,220,4.503039513677812,55.97072597421691
Task_256,2911,772,191,170,361,3.7658473479948253,56.74110505110675
Task_257,2542,405,23,12,35,6.261083743842365,46.171040208749275
Task_258,1373,737,51,189,240,1.8604336043360434,31.944945901245237
Task_259,1110,99,177,188,365,11.1,25.37763563068823
Task_260,2276,597,184,131,315,3.8060200668896322,45.86491617817203
Task_261,2666,455,180,85,265,5.8464912280701755,51.014996272343645
Task_262,1624,744,70,23,93,2.1798657718120804,33.76259098482486
Task_263,1619,273,135,85,220,5.908759124087592,33.64314640573834
Task_264,1739,877,72,69,141,1.9806378132118452,36.78124712980294
Task_265,2287,88,33,175,208,25.696629213483146,43.05711172785946
Task_266,1433,595,148,116,264,2.4043624161073827,32.256667864151375
Task_267,2886,645,52,89,141,4.46749226006192,54.565725586307025
Task_268,2159,891,20,30,50,2.4204035874439462,42.120307561994665
Task_269,2557,386,192,120,312,6.607235142118863,49.59968875991888
Task_270,1071,295,128,118,246,3.6182432432432434,25.494406840150404
Task_271,1323,463,38,85,123,2.851293103448276,29.062961288858812
Task_272,1951,594,71,100,171,3.2789915966386554,39.94100685611978
Task_273,2603,603,124,116,240,4.309602649006623,50.702548157166405
Task_274,579,154,153,131,284,3.735483870967742,17.135596245762912
Task_275,775,635,110,33,143,1.2185534591194969,20.331520560032583
Task_276,2601,580,24,30,54,4.476764199655766,48.16989052097474
Task_277,2632,773,68,72,140,3.400516795865633,50.68123416533793
Task_278,1725,400,41,31,72,4.301745635910224,33.65386449827363
Task_279,963,782,13,141,154,1.2298850574712643,24.492655641979457
Task_280,1608,557,72,89,161,2.881720430107527,34.08064305637097
Task_281,1410,366,88,93,181,3.8419618528610355,30.51774215492109
Task_282,1045,121,100,49,149,8.565573770491802,22.58473311977578
Task_283,2237,321,21,39,60,6.947204968944099,41.411628580247594
Task_284,1767,382,100,143,243,4.613577023498695,36.80991424140564
Task_285,1049,581,30,164,194,1.802405498281787,25.92761270988437
Task_286,964,262,187,96,283,3.665399239543726,23.852968255724544
Task_287,2673,681,166,103,269,3.9193548387096775,52.17061855872945
Task_288,1804,66,174,119,293,26.925373134328357,35.684808385629076
Task_289,742,310,114,44,158,2.3858520900321545,18.830032407109645
Task_290,2202,962,27,117,144,2.2866043613707165,44.78877538606198
Task_291,2326,266,33,149,182,8.711610486891386,44.858941475028
Task_292,2279,811,161,187,348,2.8066502463054186,46.81720540281637
Task_293,2385,504,120,58,178,4.7227722772277225,45.8657543672653
Task_294,1937,979,171,119,290,1.976530612244898,41.56078899240349
Task_295,607,368,37,28,65,1.6449864498644986,15.835268837293718
Task_296,1824,856,88,135,223,2.128354725787631,39.12872790010032
Task_297,2213,965,62,70,132,2.290890269151139,44.625554824186054
Task_298,946,346,94,200,294,2.7262247838616713,24.10278469845942
Task_299,1667,1016,39,13,52,1.6391347099311702,34.48385269764114
Task_300,2571,571,198,14,212,4.494755244755245,48.994560755712115
Task_301,1373,742,21,101,122,1.847913862718708,30.804422993803538
Task_302,1719,895,179,15,194,1.9185267857142858,36.43681946415215
Task_303,1216,464,25,169,194,2.6150537634408604,28.219018177097208
Task_304,2362,224,153,196,349,10.497777777777777,46.22514281626965
Task_305,2121,554,141,152,293,3.8216216216216217,43.20532559595733
Task_306,738,171,178,57,235,4.290697674418604,19.018265288490188
Task_307,2160,650,130,46,176,3.3179723502304146,42.572708409557855
Task_308,2592,616,75,59,134,4.2009724473257695,49.40185635350614
Task_309,2497,700,123,161,284,3.5620542082738944,49.59545752323961
Task_310,1910,936,44,107,151,2.038420490928495,40.0368139257818
Task_311,2517,965,98,56,154,2.6055900621118013,49.29321206078268
Task_312,1795,470,95,37,132,3.81104033970276,36.0956189973824
Task_313,1193,988,93,84,177,1.2062689585439839,28.773537685382905
Task_314,1877,269,14,196,210,6.951851851851852,38.1418550999383
Task_315,2944,1009,65,64,129,2.9148514851485148,56.358810391567836
Task_316,1296,718,105,17,122,1.8025034770514603,28.46694979498031
Task_317,2987,905,193,162,355,3.2969094922737305,58.324322023614535
Task_318,1668,882,19,16,35,1.8890147225368064,33.79866893753603
Task_319,2386,471,48,61,109,5.055084745762712,45.34560595767627
Task_320,544,149,103,73,176,3.6266666666666665,15.37090046561473
Task_321,1428,409,128,121,249,3.4829268292682927,31.52806535589225
Task_322,2927,987,126,191,317,2.9625506072874495,57.501248082523205
Task_323,1629,476,197,61,258,3.4150943396226414,34.3473424764167
Task_324,974,300,140,189,329,3.2358803986710964,24.45528055718462
Task_325,1667,861,29,90,119,1.9338747099767981,35.73805678796426
Task_326,679,403,67,146,213,1.6806930693069306,19.63995586296288
Task_327,831,719,193,176,369,1.1541666666666666,23.58749060697708
Task_328,979,539,93,58,151,1.8129629629629629,23.611026434268172
Task_329,2599,842,26,138,164,3.0830367734282325,51.012429615877515
Task_330,862,732,191,131,322,1.1759890859481583,23.841076805385104
Task_331,760,883,183,182,365,0.8597285067873304,22.967176401377184
Task_332,876,105,17,29,46,8.264150943396226,18.745161019545467
Task_333,1216,566,41,157,198,2.144620811287478,28.504404970301508
Task_334,2090,901,35,31,66,2.317073170731707,41.022337805444536
Task_335,1305,277,32,68,100,4.694244604316546,27.66163039084921
Task_336,2906,902,26,83,109,3.2181616832779625,55.31288397918871
Task_337,864,520,133,11,144,1.6583493282149713,21.267822117409988
Task_338,2388,573,36,161,197,4.160278745644599,47.083211278298755
Task_339,2057,500,78,17,95,4.105788423153693,39.68102094487461
Task_340,2677,503,31,199,230,5.311507936507937,51.664896549727835
Task_341,1271,424,147,155,302,2.9905882352941178,29.380208343524796
Task_342,2852,319,148,64,212,8.9125,53.04885133397528
Task_343,966,307,179,153,332,3.1363636363636362,24.312222114133842
Task_344,2107,842,198,53,251,2.4994068801897984,43.14794056288559
Task_345,2028,683,164,160,324,2.9649122807017543,42.29175345023921
Task_346,1460,395,172,79,251,3.686868686868687,31.644027908343958
Task_347,886,816,18,188,206,1.084455324357405,23.875381196117882
Task_348,2735,416,137,101,238,6.5587529976019185,52.15491355681528
Task_349,2441,436,98,48,146,5.585812356979405,46.16290308571758
Task_350,1530,719,88,22,110,2.125,32.21744611361702
Task_351,2507,1004,92,77,169,2.4945273631840794,49.591098398010615
Task_352,1969,919,117,98,215,2.140217391304348,41.51577242425677
Task_353,1898,630,139,86,225,3.007923930269414,39.24715986519095
Task_354,2997,444,179,173,352,6.734831460674157,57.01365005244313
Task_355,1008,737,102,141,243,1.3658536585365855,25.848689589320447
Task_356,1182,356,200,91,291,3.310924369747899,27.464728481556538
Task_357,1174,190,195,64,259,6.146596858638744,26.409155286597855
Task_358,1048,594,117,111,228,1.761344537815126,25.973539030513063
Task_359,2433,696,92,167,259,3.490674318507891,48.54269678266388
Task_360,656,414,69,132,201,1.580722891566265,19.20949149380837
Task_361,1311,343,163,45,208,3.811046511627907,28.430069155217737
Task_362,2776,464,114,179,293,5.969892473118279,53.3244081267008
Task_363,2067,532,53,120,173,3.8780487804878048,41.790647472172644
Task_364,2827,1011,154,191,345,2.7934782608695654,56.117641091041435
Task_365,522,274,52,143,195,1.8981818181818182,16.724828029697644
Task_366,1369,603,23,19,42,2.2665562913907285,28.327463616963417
Task_367,885,197,105,23,128,4.46969696969697,20.781833190822308
Task_368,1351,300,114,127,241,4.488372093023256,29.928318209344937
Task_369,749,993,170,74,244,0.7535211267605634,22.120792424923636
Task_370,1028,229,153,76,229,4.469565217391304,24.096307955061786
Task_371,2328,340,36,56,92,6.826979472140763,43.86854253665775
Task_372,2372,225,100,10,110,10.495575221238939,43.88146270855619
Task_373,1778,314,175,31,206,5.644444444444445,35.75812829012847
Task_374,2117,866,174,94,268,2.4417531718569783,43.8698868231379
Task_375,2939,1011,188,94,282,2.9041501976284585,57.410842199010006
Task_376,583,1021,15,98,113,0.5704500978473581,19.1114758710736
Task_377,2118,89,129,122,251,23.533333333333335,40.54928148681229
Task_378,2223,1015,175,187,362,2.187992125984252,46.62911800553482
Task_379,1679,94,54,124,178,17.673684210526314,33.15263387298333
Task_380,1441,164,62,61,123,8.733333333333333,29.121520974426463
Task_381,1986,674,77,127,204,2.942222222222222,41.134881018316726
Task_382,2651,312,133,197,330,8.46964856230032,51.02788578796939
Task_383,1418,888,94,46,140,1.5950506186726658,31.407010647507505
Task_384,2098,814,164,45,209,2.5742331288343556,42.386580250136014
Task_385,2630,894,110,162,272,2.9385474860335195,52.25903826118056
Task_386,1036,997,195,52,247,1.0380761523046091,26.586048863644578
Task_387,2394,581,138,89,227,4.11340206185567,47.036988182070736
Task_388,2443,856,95,78,173,2.8506417736289382,48.29394655226881
Task_389,2338,955,98,198,296,2.4456066945606696,47.99732556042404
Task_390,2064,505,130,105,235,4.07905138339921,41.81609112117357
Task_391,1216,747,156,53,209,1.625668449197861,28.551334988489433
Task_392,1306,333,70,63,133,3.910179640718563,28.262233662257017
Task_393,832,529,147,29,176,1.569811320754717,21.18378664905188
Task_394,2024,778,54,16,70,2.5982028241335047,39.32702285597469
Task_395,2624,200,182,23,205,13.054726368159203,48.642838966045616
Task_396,1723,182,138,163,301,9.415300546448087,35.548691054970874
Task_397,2450,173,45,125,170,14.080459770114942,45.8890904868098
Task_398,1646,692,12,199,211,2.375180375180375,35.819016965022975
Task_399,2615,459,170,180,350,5.684782608695652,51.017982247371414
Task_400,2797,766,61,44,105,3.646675358539765,52.185019009832985
Task_401,2251,780,174,108,282,2.882202304737516,45.86324742524804
Task_402,2981,860,41,18,59,3.4622531939605112,54.713234088382556
Task_403,2666,279,103,101,204,9.521428571428572,50.439161597209534
Task_404,2062,588,61,55,116,3.500848896434635,40.64061985252861
Task_405,507,885,19,179,198,0.572234762979684,18.231061016637423
Task_406,2259,950,127,134,261,2.3753943217665614,46.46441771525597
Task_407,1112,652,157,91,248,1.7029096477794794,27.082750126983502
Task_408,918,131,130,126,256,6.954545454545454,22.165606364114947
Task_409,2171,93,129,109,238,23.095744680851062,41.26575824834398
Task_410,1980,542,152,57,209,3.6464088397790055,39.916806609216955
Task_411,1474,703,30,55,85,2.09375,31.37853477809271
Task_412,1970,665,15,91,106,2.957957957957958,39.77022492320268
Task_413,1804,213,72,34,106,8.429906542056075,34.88397718822598
Task_414,1681,190,21,55,76,8.801047120418849,32.76006719226884
Task_415,1244,272,17,166,183,4.556776556776557,27.698650892088086
Task_416,921,212,31,80,111,4.323943661971831,21.74093385243732
Task_417,551,220,183,30,213,2.493212669683258,16.09524862459327
Task_418,624,244,50,76,126,2.546938775510204,17.44918673344009
Task_419,936,512,24,133,157,1.8245614035087718,23.398255192062436
Task_420,1799,992,25,11,36,1.811681772406848,36.213118786187046
Task_421,647,192,85,71,156,3.3523316062176165,17.43195999102043
Task_422,1873,931,137,89,226,2.009656652360515,39.87750098930553
Task_423,1928,753,154,137,291,2.557029177718833,40.74472963339068
Task_424,675,885,107,130,237,0.7618510158013544,20.996019979777472
Task_425,1548,562,16,26,42,2.74955595026643,31.243902089229238
Task_426,969,665,189,56,245,1.454954954954955,24.497836864420606
Task_427,2884,887,80,44,124,3.2477477477477477,54.39770147600881
Task_428,1682,660,27,40,67,2.5446293494704992,33.79735311849334
Task_429,646,951,92,70,162,0.6785714285714286,19.959083452648812
Task_430,1199,694,180,107,287,1.725179856115108,28.936983727750203
Task_431,787,917,58,90,148,0.8572984749455338,22.028271564465115
