TaskID,Instructions,Memory_MB,Input_MB,Output_MB
Task_94,2071,615,136,52
Task_95,1863,959,187,84
Task_96,1680,154,139,57
Task_97,1912,266,109,46
Task_98,1096,758,113,52
Task_99,1633,802,102,100
Task_100,1162,909,104,87
Task_101,2268,469,107,131
Task_102,2305,1024,79,69
Task_103,717,890,190,34
Task_104,1295,846,48,91
Task_105,1633,245,121,77
Task_106,2848,655,26,108
Task_107,721,914,134,135
Task_108,1659,814,103,94
Task_109,2669,764,161,159
Task_110,2022,851,67,112
Task_111,1071,551,60,181
Task_112,2101,918,173,137
Task_113,2354,298,26,158
Task_114,638,508,105,173
Task_115,1152,329,57,58
Task_116,2826,895,123,132
Task_117,861,208,179,192
Task_118,1837,922,125,150
Task_119,2577,596,44,65
Task_120,516,854,50,31
Task_121,914,213,127,57
Task_122,1600,101,80,34
Task_123,1360,179,144,91
Task_124,1842,733,30,65
Task_125,536,732,86,196
Task_126,912,193,193,119
Task_127,1042,468,199,27
Task_128,1961,759,37,56
Task_129,850,259,64,32
Task_130,2817,248,49,23
Task_131,1513,769,152,106
Task_132,1870,88,141,195
Task_133,1849,254,11,125
Task_134,1320,754,172,178
Task_135,2136,469,70,11
Task_136,2163,613,84,118
Task_137,2783,235,73,16
Task_138,2870,1007,74,191
Task_139,1381,655,89,16
Task_140,2103,915,99,29
Task_141,2573,611,123,53
Task_142,2384,797,121,19
Task_143,1577,700,150,195
Task_144,1549,211,45,112
Task_145,1943,833,182,83
Task_146,2061,69,71,62
Task_147,986,245,13,64
Task_148,2125,158,21,110
Task_149,2623,265,69,166
Task_150,2424,78,153,29
Task_151,1837,418,23,63
Task_152,2705,586,129,65
Task_153,2838,878,135,116
Task_154,1344,417,192,167
Task_155,1483,911,66,90
Task_156,580,180,186,37
Task_157,1962,230,180,161
Task_158,2988,903,128,175
Task_159,2843,193,182,90
Task_160,891,228,181,126
Task_161,1016,452,155,38
Task_162,2444,592,167,175
Task_163,1299,520,113,101
Task_164,676,996,10,161
Task_165,1890,648,11,195
Task_166,2979,158,75,89
Task_167,1684,908,121,142
Task_168,2635,676,51,22
Task_169,1993,104,148,160
Task_170,1650,317,71,55
Task_171,2546,912,69,132
Task_172,2473,598,161,128
Task_173,2203,233,16,126
Task_174,2759,783,153,31
Task_175,1327,958,26,160
Task_176,2376,445,85,91
Task_177,2289,560,86,108
Task_178,2336,795,195,146
Task_179,2653,427,80,57
Task_180,2023,619,95,62
Task_181,1736,395,39,66
Task_182,675,880,132,162
Task_183,828,286,153,164
Task_184,2191,731,41,159
Task_185,2591,867,122,145
Task_186,1119,445,190,127
Task_187,1286,622,31,104
Task_188,2311,340,34,162
Task_189,2287,336,176,54
Task_190,2036,295,154,70
Task_191,2055,743,95,79
Task_192,2086,998,29,62
Task_193,562,821,189,120
Task_194,2775,157,163,158
Task_195,2499,816,145,16
Task_196,1002,462,17,99
Task_197,920,826,102,20
Task_198,518,749,93,158
Task_199,2906,793,104,131
Task_200,837,479,101,50
Task_201,764,124,51,105
Task_202,1284,363,150,191
Task_203,2152,784,105,16
Task_204,2522,618,61,197
Task_205,636,499,152,40
Task_206,2032,371,62,175
Task_207,2045,427,105,76
Task_208,2421,594,44,200
Task_209,1708,339,25,40
Task_210,2110,247,64,47
Task_211,571,577,188,110
Task_212,1943,614,128,100
Task_213,1940,86,27,94
Task_214,1010,356,125,35
Task_215,2626,629,34,92
Task_216,2993,269,91,102
Task_217,2555,568,17,179
Task_218,648,787,124,162
Task_219,2977,372,193,21
Task_220,695,111,23,165
Task_221,2774,119,116,12
Task_222,1655,594,25,81
Task_223,2530,672,72,42
Task_224,938,228,96,129
Task_225,1914,425,136,138
Task_226,1878,595,113,157
Task_227,2651,332,59,39
Task_228,1589,702,10,163
Task_229,1831,764,154,174
Task_230,1607,901,104,41
Task_231,1104,636,180,22
Task_232,2502,399,52,107
Task_233,1295,92,70,52
Task_234,1195,877,55,110
Task_235,1872,386,129,93
Task_236,645,867,174,155
Task_237,2762,564,21,81
Task_238,582,505,176,199
Task_239,2408,534,47,80
Task_240,2957,906,31,62
Task_241,676,565,103,159
Task_242,1442,251,58,154
Task_243,595,455,36,175
Task_244,763,921,126,103
Task_245,1729,943,103,104
Task_246,1414,104,53,77
Task_247,2454,551,85,163
Task_248,869,331,57,54
Task_249,1207,884,153,170
Task_250,1136,72,119,40
Task_251,2884,266,144,48
Task_252,2182,243,106,38
Task_253,878,170,117,189
Task_254,1079,621,127,33
Task_255,2963,657,165,55
Task_256,2911,772,191,170
Task_257,2542,405,23,12
Task_258,1373,737,51,189
Task_259,1110,99,177,188
Task_260,2276,597,184,131
Task_261,2666,455,180,85
Task_262,1624,744,70,23
Task_263,1619,273,135,85
Task_264,1739,877,72,69
Task_265,2287,88,33,175
Task_266,1433,595,148,116
Task_267,2886,645,52,89
Task_268,2159,891,20,30
Task_269,2557,386,192,120
Task_270,1071,295,128,118
Task_271,1323,463,38,85
Task_272,1951,594,71,100
Task_273,2603,603,124,116
Task_274,579,154,153,131
Task_275,775,635,110,33
Task_276,2601,580,24,30
Task_277,2632,773,68,72
Task_278,1725,400,41,31
Task_279,963,782,13,141
Task_280,1608,557,72,89
Task_281,1410,366,88,93
Task_282,1045,121,100,49
Task_283,2237,321,21,39
Task_284,1767,382,100,143
Task_285,1049,581,30,164
Task_286,964,262,187,96
Task_287,2673,681,166,103
Task_288,1804,66,174,119
Task_289,742,310,114,44
Task_290,2202,962,27,117
Task_291,2326,266,33,149
Task_292,2279,811,161,187
Task_293,2385,504,120,58
Task_294,1937,979,171,119
Task_295,607,368,37,28
Task_296,1824,856,88,135
Task_297,2213,965,62,70
Task_298,946,346,94,200
Task_299,1667,1016,39,13
Task_300,2571,571,198,14
Task_301,1373,742,21,101
Task_302,1719,895,179,15
Task_303,1216,464,25,169
Task_304,2362,224,153,196
Task_305,2121,554,141,152
Task_306,738,171,178,57
Task_307,2160,650,130,46
Task_308,2592,616,75,59
Task_309,2497,700,123,161
Task_310,1910,936,44,107
Task_311,2517,965,98,56
Task_312,1795,470,95,37
Task_313,1193,988,93,84
Task_314,1877,269,14,196
Task_315,2944,1009,65,64
Task_316,1296,718,105,17
Task_317,2987,905,193,162
Task_318,1668,882,19,16
Task_319,2386,471,48,61
Task_320,544,149,103,73
Task_321,1428,409,128,121
Task_322,2927,987,126,191
Task_323,1629,476,197,61
Task_324,974,300,140,189
Task_325,1667,861,29,90
Task_326,679,403,67,146
Task_327,831,719,193,176
Task_328,979,539,93,58
Task_329,2599,842,26,138
Task_330,862,732,191,131
Task_331,760,883,183,182
Task_332,876,105,17,29
Task_333,1216,566,41,157
Task_334,2090,901,35,31
Task_335,1305,277,32,68
Task_336,2906,902,26,83
Task_337,864,520,133,11
Task_338,2388,573,36,161
Task_339,2057,500,78,17
Task_340,2677,503,31,199
Task_341,1271,424,147,155
Task_342,2852,319,148,64
Task_343,966,307,179,153
Task_344,2107,842,198,53
Task_345,2028,683,164,160
Task_346,1460,395,172,79
Task_347,886,816,18,188
Task_348,2735,416,137,101
Task_349,2441,436,98,48
Task_350,1530,719,88,22
Task_351,2507,1004,92,77
Task_352,1969,919,117,98
Task_353,1898,630,139,86
Task_354,2997,444,179,173
Task_355,1008,737,102,141
Task_356,1182,356,200,91
Task_357,1174,190,195,64
Task_358,1048,594,117,111
Task_359,2433,696,92,167
Task_360,656,414,69,132
Task_361,1311,343,163,45
Task_362,2776,464,114,179
Task_363,2067,532,53,120
Task_364,2827,1011,154,191
Task_365,522,274,52,143
Task_366,1369,603,23,19
Task_367,885,197,105,23
Task_368,1351,300,114,127
Task_369,749,993,170,74
Task_370,1028,229,153,76
Task_371,2328,340,36,56
Task_372,2372,225,100,10
Task_373,1778,314,175,31
Task_374,2117,866,174,94
Task_375,2939,1011,188,94
Task_376,583,1021,15,98
Task_377,2118,89,129,122
Task_378,2223,1015,175,187
Task_379,1679,94,54,124
Task_380,1441,164,62,61
Task_381,1986,674,77,127
Task_382,2651,312,133,197
Task_383,1418,888,94,46
Task_384,2098,814,164,45
Task_385,2630,894,110,162
Task_386,1036,997,195,52
Task_387,2394,581,138,89
Task_388,2443,856,95,78
Task_389,2338,955,98,198
Task_390,2064,505,130,105
Task_391,1216,747,156,53
Task_392,1306,333,70,63
Task_393,832,529,147,29
Task_394,2024,778,54,16
Task_395,2624,200,182,23
Task_396,1723,182,138,163
Task_397,2450,173,45,125
Task_398,1646,692,12,199
Task_399,2615,459,170,180
Task_400,2797,766,61,44
Task_401,2251,780,174,108
Task_402,2981,860,41,18
Task_403,2666,279,103,101
Task_404,2062,588,61,55
Task_405,507,885,19,179
Task_406,2259,950,127,134
Task_407,1112,652,157,91
Task_408,918,131,130,126
Task_409,2171,93,129,109
Task_410,1980,542,152,57
Task_411,1474,703,30,55
Task_412,1970,665,15,91
Task_413,1804,213,72,34
Task_414,1681,190,21,55
Task_415,1244,272,17,166
Task_416,921,212,31,80
Task_417,551,220,183,30
Task_418,624,244,50,76
Task_419,936,512,24,133
Task_420,1799,992,25,11
Task_421,647,192,85,71
Task_422,1873,931,137,89
Task_423,1928,753,154,137
Task_424,675,885,107,130
Task_425,1548,562,16,26
Task_426,969,665,189,56
Task_427,2884,887,80,44
Task_428,1682,660,27,40
Task_429,646,951,92,70
Task_430,1199,694,180,107
Task_431,787,917,58,90
Task_432,2944,67,178,145
Task_433,2696,650,172,55
Task_434,1154,833,50,54
Task_435,1375,234,42,90
Task_436,1275,1011,79,173
Task_437,886,303,168,64
Task_438,1580,1021,185,75
Task_439,2502,835,188,10
Task_440,725,326,91,50
Task_441,1192,94,20,195
Task_442,2213,771,189,125
Task_443,2725,466,54,182
Task_444,1335,327,33,188
Task_445,2962,93,175,41
Task_446,594,543,30,138
Task_447,1146,645,138,177
Task_448,679,938,174,59
Task_449,2324,207,103,45
Task_450,1076,774,79,28
Task_451,788,1009,43,187
Task_452,2086,861,196,76
Task_453,1419,683,170,112
Task_454,1007,864,53,61
Task_455,1546,204,48,128
Task_456,2080,922,27,193
Task_457,2522,489,106,65
Task_458,2281,170,118,143
Task_459,2499,900,126,127
Task_460,933,564,162,66
Task_461,2546,969,69,58
Task_462,2770,186,11,135
Task_463,2118,263,171,127
Task_464,1390,503,113,141
Task_465,2035,137,98,120
Task_466,841,697,25,17
Task_467,1153,899,161,197
Task_468,1964,633,73,31
Task_469,1567,589,29,143
Task_470,2423,653,191,132
Task_471,1737,858,128,17
Task_472,2344,520,126,17
Task_473,2251,564,45,54
Task_474,1349,300,104,92
Task_475,2475,125,125,52
Task_476,2293,104,180,42
Task_477,697,605,81,139
Task_478,2470,237,91,190
Task_479,592,1002,23,192
Task_480,1643,480,176,10
Task_481,2633,612,81,184
Task_482,729,547,10,103
Task_483,890,877,110,123
Task_484,2699,699,189,185
Task_485,585,980,119,185
Task_486,684,1003,29,83
Task_487,2551,342,143,95
Task_488,2691,1019,65,165
Task_489,2277,615,108,195
Task_490,2213,427,122,105
Task_491,1098,883,154,176
Task_492,2590,929,71,138
Task_493,2637,704,31,53
Task_494,1849,539,51,149
Task_495,1524,895,193,164
Task_496,2403,459,89,28
Task_497,1123,974,85,139
Task_498,2989,769,110,193
Task_499,2377,503,98,196
Task_500,1790,706,39,86
Task_501,2211,102,17,189
Task_502,1944,399,90,98
Task_503,1846,281,31,152
Task_504,1092,966,99,162
Task_505,773,350,154,133
Task_506,545,540,178,55
Task_507,636,627,183,26
Task_508,1636,864,180,79
Task_509,2699,129,113,26
Task_510,2284,168,71,101
Task_511,2644,791,29,61
Task_512,2897,306,135,162
Task_513,2452,753,71,126
Task_514,2713,455,48,124
Task_515,741,94,128,97
Task_516,2879,174,87,133
Task_517,2977,439,122,97
Task_518,1078,109,31,23
Task_519,1212,759,55,157
Task_520,1801,91,113,188
Task_521,2082,447,64,14
Task_522,1396,922,15,183
Task_523,1577,195,96,150
Task_524,2933,774,170,180
Task_525,750,675,166,119
Task_526,2457,154,183,116
Task_527,2912,277,155,95
Task_528,705,158,120,75
Task_529,2505,639,164,152
Task_530,2484,474,68,42
Task_531,1372,427,177,171
Task_532,2403,940,40,157
Task_533,1761,543,155,165
Task_534,2903,225,180,96
Task_535,2539,438,33,38
Task_536,1068,253,124,71
Task_537,2817,732,64,61
Task_538,1966,371,69,82
Task_539,778,896,153,154
Task_540,955,68,93,148
Task_541,2384,541,102,170
Task_542,2671,951,54,133
Task_543,2237,88,110,15
Task_544,619,881,114,13
Task_545,2342,853,186,45
Task_546,741,94,50,144
Task_547,1197,671,87,88
Task_548,2505,669,45,108
Task_549,598,189,48,196
Task_550,2106,594,138,100
Task_551,870,527,30,82
Task_552,1629,932,127,178
Task_553,1735,950,151,185
Task_554,604,977,11,57
Task_555,869,609,199,144
Task_556,2195,775,31,137
Task_557,2840,872,193,127
Task_558,2926,589,133,180
Task_559,2441,352,148,149
Task_560,2248,409,66,166
Task_561,1198,380,90,112
Task_562,1435,466,156,80
Task_563,1207,783,23,197
Task_564,2717,670,115,78
Task_565,1729,190,23,39
Task_566,1942,887,194,46
Task_567,980,654,41,10
Task_568,924,893,41,200
Task_569,854,102,178,119
Task_570,2073,765,101,160
Task_571,898,137,109,101
Task_572,2443,348,95,42
Task_573,2187,172,162,71
Task_574,2226,608,132,133
Task_575,1963,248,199,74
Task_576,1363,743,24,100
Task_577,720,343,80,146
Task_578,2389,307,23,186
Task_579,2734,263,82,192
Task_580,2859,934,159,18
Task_581,913,478,118,127
Task_582,1698,123,196,178
Task_583,2715,935,125,177
Task_584,582,858,70,164
Task_585,2830,817,13,124
Task_586,1547,1009,84,17
Task_587,731,877,96,76
Task_588,2836,951,61,11
Task_589,1760,816,187,30
Task_590,1676,876,147,84
Task_591,1827,127,48,200
Task_592,2508,255,36,148
Task_593,2968,901,166,162
Task_594,2452,907,97,196
Task_595,2467,265,21,42
Task_596,2207,67,153,133
Task_597,1976,689,159,144
Task_598,2863,869,65,79
Task_599,2578,927,159,119
Task_600,2149,875,106,38
Task_601,2058,863,67,200
Task_602,2390,181,121,16
Task_603,1705,360,164,160
Task_604,2149,790,96,79
Task_605,1833,659,70,112
Task_606,1273,211,117,154
Task_607,2851,606,155,48
Task_608,2841,714,90,20
Task_609,2148,972,72,180
Task_610,2372,291,47,66
Task_611,1238,504,78,122
Task_612,2414,339,198,104
Task_613,2625,894,156,187
Task_614,1596,252,94,49
Task_615,1566,909,65,130
Task_616,1551,342,62,46
Task_617,2055,808,78,123
Task_618,2646,705,42,33
Task_619,1023,690,176,118
Task_620,2831,758,90,107
Task_621,553,484,175,126
Task_622,504,774,131,183
Task_623,1610,442,123,59
Task_624,2249,313,17,143
Task_625,2615,180,193,50
Task_626,1929,331,13,89
Task_627,1539,381,189,179
Task_628,1670,495,162,78
Task_629,1493,711,135,38
Task_630,2409,856,99,151
Task_631,1763,446,107,51
Task_632,2343,213,161,116
Task_633,1573,841,153,197
Task_634,2806,585,140,130
Task_635,2409,253,145,10
Task_636,789,281,93,171
Task_637,1622,547,48,119
Task_638,2650,239,15,72
Task_639,2648,837,101,10
Task_640,2194,510,61,31
Task_641,606,840,71,104
Task_642,828,727,42,64
Task_643,1290,296,48,140
Task_644,2620,827,84,17
Task_645,1455,755,54,18
Task_646,622,483,151,134
Task_647,1662,279,11,30
Task_648,2674,432,163,109
Task_649,1965,398,111,64
Task_650,2315,929,170,140
Task_651,2997,640,53,104
Task_652,1445,354,14,133
Task_653,725,208,83,102
Task_654,2862,800,78,53
Task_655,1935,773,30,84
Task_656,816,839,133,139
Task_657,2248,696,134,99
Task_658,826,324,139,153
Task_659,1385,500,82,144
Task_660,1522,174,46,145
Task_661,1678,608,198,120
Task_662,1053,86,33,156
Task_663,2769,860,26,170
Task_664,1014,827,53,115
Task_665,806,776,116,112
Task_666,2336,705,146,10
Task_667,1492,418,12,52
Task_668,2006,432,38,62
Task_669,714,800,18,190
Task_670,2489,777,94,128
Task_671,1595,596,15,22
Task_672,1790,869,11,76
Task_673,2782,438,68,87
Task_674,1609,139,117,89
Task_675,1940,248,120,109
Task_676,1178,813,77,195
Task_677,930,291,44,197
Task_678,2968,653,153,135
Task_679,2431,217,100,50
Task_680,637,337,154,77
Task_681,1763,85,94,182
Task_682,2247,713,170,15
Task_683,2566,736,24,82
Task_684,2520,532,179,173
Task_685,531,639,30,61
Task_686,2135,720,38,77
Task_687,843,583,90,62
Task_688,1921,646,32,89
Task_689,2075,733,12,200
Task_690,2944,492,125,194
Task_691,2336,366,136,31
Task_692,2576,303,185,64
Task_693,2129,131,69,145
Task_694,1270,605,119,141
Task_695,2920,360,130,99
Task_696,2846,172,141,147
Task_697,705,325,161,143
Task_698,2415,129,95,50
Task_699,2499,458,176,57
Task_700,654,707,109,176
Task_701,2903,808,186,151
Task_702,999,216,58,72
Task_703,722,117,68,138
Task_704,2498,492,17,69
Task_705,1348,690,106,66
Task_706,543,694,151,79
Task_707,2487,983,169,153
Task_708,2827,565,114,66
Task_709,658,125,115,37
Task_710,1462,333,198,129
Task_711,1776,156,160,50
Task_712,1445,667,18,24
Task_713,583,226,13,51
Task_714,690,291,108,89
Task_715,1090,414,154,192
Task_716,2749,193,136,142
Task_717,755,512,154,56
Task_718,2426,551,134,103
Task_719,2543,878,87,61
Task_720,1905,722,171,156
Task_721,1179,798,190,172
Task_722,712,849,43,190
Task_723,2865,494,101,196
Task_724,1812,880,164,72
Task_725,1412,364,108,61
Task_726,823,959,67,57
Task_727,894,796,196,42
Task_728,979,890,77,97
Task_729,2537,961,125,180
Task_730,2675,252,40,124
Task_731,2306,421,111,164
Task_732,1092,485,32,77
Task_733,2403,750,172,63
Task_734,746,474,59,26
Task_735,2612,810,20,155
Task_736,1961,83,152,75
Task_737,745,879,64,43
Task_738,1230,716,116,114
Task_739,770,425,26,194
Task_740,2618,103,103,86
Task_741,2113,268,164,198
Task_742,870,786,138,77
Task_743,1861,733,188,24
Task_744,1200,271,53,36
Task_745,774,727,154,52
Task_746,728,598,10,37
Task_747,1167,96,123,32
Task_748,2468,393,50,130
Task_749,2985,289,17,152
Task_750,1835,917,157,196
Task_751,691,592,117,10
Task_752,536,843,163,92
Task_753,805,327,132,147
Task_754,975,629,72,133
Task_755,2869,305,106,159
Task_756,676,742,58,122
Task_757,2853,103,142,111
Task_758,1045,226,140,52
Task_759,2533,424,86,167
Task_760,2802,860,143,96
Task_761,1173,641,172,63
Task_762,1724,894,118,85
Task_763,1914,174,48,123
Task_764,2949,542,40,36
Task_765,2131,1015,20,121
Task_766,2438,839,188,53
Task_767,2199,468,153,101
Task_768,2891,308,99,78
Task_769,2956,1007,36,55
Task_770,821,491,106,73
Task_771,1445,428,106,186
Task_772,1703,415,188,112
Task_773,1909,400,198,80
Task_774,1166,948,108,198
Task_775,2385,122,59,40
Task_776,1892,169,22,96
Task_777,1173,97,31,146
Task_778,1066,216,127,81
Task_779,2398,674,86,130
Task_780,1427,959,153,105
Task_781,2906,90,102,57
Task_782,741,634,133,148
Task_783,1683,813,180,37
Task_784,1789,530,99,122
Task_785,2625,628,181,193
Task_786,758,670,163,87
Task_787,1950,809,166,25
Task_788,847,808,157,106
Task_789,2805,85,12,120
Task_790,2618,201,155,18
Task_791,1594,805,190,146
Task_792,724,502,75,32
Task_793,868,710,40,70
Task_794,2935,447,84,185
Task_795,2227,431,61,58
Task_796,1916,795,14,47
Task_797,1982,295,114,69
Task_798,697,516,97,43
Task_799,2534,434,54,27
Task_800,1340,816,65,29
Task_801,801,635,173,165
Task_802,791,911,25,118
Task_803,1757,229,93,166
Task_804,615,769,140,32
Task_805,2597,626,162,161
Task_806,806,351,92,150
Task_807,1369,234,107,141
Task_808,2174,655,119,116
Task_809,2895,796,124,86
Task_810,1810,375,90,119
Task_811,2177,790,126,93
Task_812,2078,853,91,191
Task_813,1072,666,109,95
Task_814,2588,749,190,190
Task_815,2932,633,67,34
Task_816,2117,254,133,66
Task_817,2041,305,51,148
Task_818,563,730,72,50
Task_819,2700,401,150,152
Task_820,2527,696,42,45
Task_821,1449,763,102,155
Task_822,1352,940,130,31
Task_823,548,362,23,27
Task_824,2961,676,148,200
Task_825,1040,569,66,158
Task_826,2718,186,88,156
Task_827,2329,91,57,114
Task_828,524,501,121,69
Task_829,2114,455,43,192
Task_830,2353,163,159,127
Task_831,575,221,121,120
Task_832,2489,655,84,139
Task_833,1204,69,92,138
Task_834,2736,479,37,192
Task_835,2335,668,77,188
Task_836,2543,837,37,43
Task_837,926,957,105,178
Task_838,2528,870,140,157
Task_839,931,379,127,84
Task_840,640,215,42,145
Task_841,2610,492,10,63
Task_842,2747,560,86,95
Task_843,1474,538,198,61
Task_844,2851,715,100,86
Task_845,1193,738,125,189
Task_846,2158,899,67,27
Task_847,1137,948,142,142
Task_848,1242,836,36,54
Task_849,1452,232,194,46
Task_850,2637,1023,59,100
Task_851,1477,691,123,177
Task_852,2715,261,176,138
Task_853,1057,334,118,40
Task_854,1473,644,35,190
Task_855,1363,470,125,90
Task_856,1814,1015,12,162
Task_857,2054,948,44,76
Task_858,1305,994,40,133
Task_859,2769,846,92,74
Task_860,1425,1015,81,50
Task_861,1231,720,170,92
Task_862,2213,220,172,63
Task_863,2973,405,48,109
Task_864,1422,441,135,87
Task_865,987,582,92,10
Task_866,1634,675,41,121
Task_867,2965,1002,62,31
Task_868,1617,360,64,118
Task_869,1137,518,129,163
Task_870,1617,193,179,58
Task_871,575,588,47,161
Task_872,1618,479,143,89
Task_873,825,135,72,88
Task_874,1629,473,94,164
Task_875,616,514,46,68
Task_876,1435,396,52,28
Task_877,911,857,125,21
Task_878,1353,680,150,108
Task_879,584,895,193,59
Task_880,2935,443,162,29
Task_881,1042,524,150,58
Task_882,1769,922,157,46
Task_883,1692,322,188,56
Task_884,996,752,52,100
Task_885,1787,415,87,163
Task_886,1398,288,134,149
Task_887,1272,187,67,171
Task_888,1949,494,21,90
Task_889,1006,496,81,86
Task_890,1036,147,147,117
Task_891,1337,888,50,151
Task_892,670,384,18,15
Task_893,2363,684,34,159
Task_894,1351,144,194,150
Task_895,1836,393,74,135
Task_896,1410,800,186,77
Task_897,2636,212,78,92
Task_898,1642,240,60,182
Task_899,874,838,175,142
Task_900,1194,301,157,186
Task_901,748,873,156,115
Task_902,1692,934,46,70
Task_903,2966,657,159,71
Task_904,937,755,180,76
Task_905,2668,871,96,43
Task_906,2447,606,25,195
Task_907,2558,543,190,133
Task_908,569,275,39,49
Task_909,2586,955,14,67
Task_910,2489,276,80,151
Task_911,1411,691,38,120
Task_912,790,928,95,41
Task_913,2053,602,189,154
Task_914,1053,543,28,34
Task_915,2085,213,123,179
Task_916,2815,844,59,133
Task_917,2453,984,52,21
Task_918,2021,721,21,38
Task_919,1063,431,182,66
Task_920,1182,729,128,153
Task_921,2497,602,94,180
Task_922,2128,319,157,13
Task_923,1358,478,18,162
Task_924,1000,327,131,88
Task_925,1141,211,44,146
Task_926,2883,747,42,173
Task_927,529,681,149,124
Task_928,2195,107,158,79
Task_929,2598,285,57,168
Task_930,1876,329,57,114
Task_931,1511,890,67,57
Task_932,2131,971,195,24
Task_933,1319,854,68,105
Task_934,2991,960,83,77
Task_935,2210,917,95,92
Task_936,1722,476,199,161
Task_937,1158,475,74,18
Task_938,1220,193,170,105
Task_939,1176,600,124,52
Task_940,1313,605,100,177
Task_941,1573,896,105,75
Task_942,1555,67,144,75
Task_943,2901,579,183,77
Task_944,1513,386,181,19
Task_945,2580,481,124,172
Task_946,2691,892,110,182
Task_947,2507,530,120,139
Task_948,2763,475,28,88
Task_949,1315,120,46,85
Task_950,2492,999,64,165
Task_951,865,784,162,111
Task_952,1263,245,191,112
Task_953,1918,385,174,173
Task_954,973,65,190,173
Task_955,2457,84,71,82
Task_956,2618,829,120,98
Task_957,1591,726,160,175
Task_958,2754,548,126,126
Task_959,1947,835,187,172
Task_960,767,289,145,85
Task_961,2056,887,32,199
Task_962,2180,395,45,179
Task_963,1830,164,180,71
Task_964,1074,886,162,69
Task_965,1751,795,130,196
Task_966,642,1004,64,180
Task_967,2148,956,116,66
Task_968,2660,409,65,145
Task_969,504,414,50,171
Task_970,1778,831,40,82
Task_971,2049,663,23,99
Task_972,1330,695,166,193
Task_973,2006,749,122,133
Task_974,1520,670,42,71
Task_975,1753,410,55,152
Task_976,703,999,178,31
Task_977,832,470,46,117
Task_978,1249,700,126,106
Task_979,2204,268,116,114
Task_980,2857,874,40,182
Task_981,1853,638,155,88
Task_982,992,341,32,152
Task_983,918,843,52,163
Task_984,1145,818,68,119
Task_985,1232,819,46,148
Task_986,906,321,66,71
Task_987,1352,771,30,51
Task_988,1468,816,157,147
Task_989,1904,373,140,38
Task_990,516,829,114,46
Task_991,1790,249,165,76
Task_992,2150,465,143,118
Task_993,2704,826,79,29
Task_994,1420,85,10,85
Task_995,1065,184,175,153
Task_996,1233,437,103,172
Task_997,1555,883,91,145
Task_998,2959,384,92,151
Task_999,2118,967,153,37
Task_1000,1296,771,112,11
Task_1001,1871,571,52,198
Task_1002,1533,213,173,74
Task_1003,726,564,130,35
Task_1004,677,661,84,183
Task_1005,2580,965,170,200
Task_1006,592,469,107,109
Task_1007,2872,833,181,187
